seqnames	start	end	width	strand	gene_id	gene_name	gene_biotype	seq_coord_system	description	gene_id_version	symbol	entrezid	logFC	logCPM	F	PValue	FDR	mlog10PValue
10	81600000	81600000	19100	+	ENSMUSG00000054708	Ankrd24	protein_coding	chromosome	ankyrin repeat domain 24 [Source:MGI Symbol;Acc:MGI:1890394]	ENSMUSG00000054708.17	Ankrd24	70615	0.973	5.11	45	2.9e-08	0.000353	7.54
3	1.08e+08	1.08e+08	6560	-	ENSMUSG00000046793	Gpr61	protein_coding	chromosome	G protein-coupled receptor 61 [Source:MGI Symbol;Acc:MGI:2441719]	ENSMUSG00000046793.8	Gpr61	229714	1.16	2.69	44	3.82e-08	0.000353	7.42
7	16300000	16300000	9810	+	ENSMUSG00000002083	Bbc3	protein_coding	chromosome	BCL2 binding component 3 [Source:MGI Symbol;Acc:MGI:2181667]	ENSMUSG00000002083.13	Bbc3	170770	1.12	4.27	41.2	7.81e-08	0.000481	7.11
8	8.5e+07	8.5e+07	12700	+	ENSMUSG00000052566	Hook2	protein_coding	chromosome	hook microtubule tethering protein 2 [Source:MGI Symbol;Acc:MGI:2181664]	ENSMUSG00000052566.8	Hook2	170833	1.06	4.94	39	1.44e-07	0.000523	6.84
2	1.58e+08	1.58e+08	10500	+	ENSMUSG00000044349	Snhg11	protein_coding	chromosome	small nucleolar RNA host gene 11 [Source:MGI Symbol;Acc:MGI:2441845]	ENSMUSG00000044349.15	Snhg11	319317	1.44	9.41	37.4	2.21e-07	0.000523	6.66
18	43500000	43500000	2380	-	ENSMUSG00000043424	Eif3j2	protein_coding	chromosome	eukaryotic translation initiation factor 3, subunit J2 [Source:MGI Symbol;Acc:MGI:3704486]	ENSMUSG00000043424.10	Eif3j2	100042807	-0.632	5.36	36.5	2.82e-07	0.000523	6.55
9	59700000	59700000	38700	+	ENSMUSG00000074259	Gramd2	protein_coding	chromosome	GRAM domain containing 2 [Source:MGI Symbol;Acc:MGI:3528937]	ENSMUSG00000074259.10	Gramd2	546134	1.81	3.34	36	3.23e-07	0.000523	6.49
9	20900000	20900000	5670	+	ENSMUSG00000038884	A230050P20Rik	protein_coding	chromosome	RIKEN cDNA A230050P20 gene [Source:MGI Symbol;Acc:MGI:2441788]	ENSMUSG00000038884.14	A230050P20Rik	319278	0.898	5.27	35.8	3.42e-07	0.000523	6.47
19	45800000	45800000	24200	-	ENSMUSG00000025221	Kcnip2	protein_coding	chromosome	Kv channel-interacting protein 2 [Source:MGI Symbol;Acc:MGI:2135916]	ENSMUSG00000025221.15	Kcnip2	80906	1.29	5.3	35.7	3.53e-07	0.000523	6.45
4	3.2e+07	3.2e+07	59400	+	ENSMUSG00000028284	Map3k7	protein_coding	chromosome	mitogen-activated protein kinase kinase kinase 7 [Source:MGI Symbol;Acc:MGI:1346877]	ENSMUSG00000028284.13	Map3k7	26409	-0.955	6.13	35.4	3.85e-07	0.000523	6.41
